subject_id	TSV 1	TSV 2
0471	0471-14-090-6A.tsv	0471-14-090-6B.tsv
1233	1233-14-090-1A.tsv	1233-14-090-1B.tsv
1849	1849-14-090-28A.tsv	1849-14-090-28B.tsv
1994	1994-14-090-4A.tsv	1994-14-090-4B.tsv
2131	2131-14-090-26A.tsv	2131-14-090-26B.tsv
2278	2278-14-090-7A.tsv	2278-14-090-7B.tsv
2389	2389-14-090-21A.tsv	2389-14-090-21B.tsv
2849	2849-14-090-3A.tsv	2849-14-090-3B.tsv
2937	2937-14-090-23A.tsv	2937-14-090-23B.tsv
4072	4072-14-090-20A.tsv	4072-14-090-20B.tsv
5037	5037-14-090-29A.tsv	5037-14-090-29B.tsv
5122	5122-14-090-8A.tsv	5122-14-090-8B.tsv
5338	5338-14-090-13A.tsv	5338-14-090-13B.tsv
6229	6229-14-090-18A.tsv	6229-14-090-18B.tsv
6428	6428-14-090-11A.tsv	6428-14-090-11B.tsv
7577	7577-14-090-22A.tsv	7577-14-090-22B.tsv
7729	7729-14-090-27A.tsv	7729-14-090-27B.tsv
9517	9517-14-090-19A.tsv	9517-14-090-19B.tsv
		
