subject_id	TSV 1	TSV 2
1	1_week0.tsv.gz	1_week2.tsv.gz
1	1_week0.tsv.gz	1_week4.tsv.gz
2	2_week0.tsv.gz	2_week2.tsv.gz
2	2_week0.tsv.gz	2_week4.tsv.gz
3	3_week0.tsv.gz	3_week2.tsv.gz
3	3_week0.tsv.gz	3_week4.tsv.gz
4	4_week0.tsv.gz	4_week2.tsv.gz
5	5_week0.tsv.gz	5_week2.tsv.gz
5	5_week0.tsv.gz	5_week4.tsv.gz
6	6_week0.tsv.gz	6_week2.tsv.gz
6	6_week0.tsv.gz	6_week4.tsv.gz
7	7_week0.tsv.gz	7_week2.tsv.gz
7	7_week0.tsv.gz	7_week4.tsv.gz
8	8_week0.tsv.gz	8_week2.tsv.gz
8	8_week0.tsv.gz	8_week4.tsv.gz
9	9_week0.tsv.gz	9_week2.tsv.gz
9	9_week0.tsv.gz	9_week4.tsv.gz
10	10_week0.tsv.gz	10_week2.tsv.gz
10	10_week0.tsv.gz	10_week4.tsv.gz
replicate	replicate_1_1.tsv.gz	replicate_1_2.tsv.gz
replicate	replicate_1_1.tsv.gz	replicate_2_1.tsv.gz
replicate	replicate_1_1.tsv.gz	replicate_2_2.tsv.gz
replicate	replicate_1_2.tsv.gz	replicate_2_1.tsv.gz
replicate	replicate_1_2.tsv.gz	replicate_2_2.tsv.gz
replicate	replicate_2_1.tsv.gz	replicate_2_2.tsv.gz
