model	subject_id	interval_weeks	number_tested	number_expanded	number_contracted	total_diffab	fdr
Binomial	1	4	5732	23	11	34	0.005931612
Binomial	1	2	5755	17	2	19	0.003301477
Binomial	2	4	4157	3	2	5	0.00120279
Binomial	2	2	3455	12	2	14	0.004052098
Binomial	3	4	3480	5	6	11	0.00316092
Binomial	3	2	2894	5	2	7	0.002418798
Binomial	4	2	7818	4	0	4	0.00051164
Binomial	5	4	6999	1	20	21	0.003000429
Binomial	5	2	6607	1	1	2	0.000302709
Binomial	6	4	5492	10	1	11	0.002002913
Binomial	6	2	4683	12	0	12	0.00256246
Binomial	7	4	7539	5	3	8	0.001061149
Binomial	7	2	7419	41	2	43	0.005795929
Binomial	8	2	9971	7	5	12	0.00120349
Binomial	8	4	10841	6	11	17	0.001568121
Binomial	9	2	7865	20	9	29	0.003687222
Binomial	9	4	7656	10	13	23	0.00300418
Binomial	10	4	5711	7	34	41	0.007179128
Binomial	10	2	5345	17	5	22	0.004115996
Binomial	replicate	0	4364	0	3	3	0.000687443
Binomial	replicate	0	4460	1	1	2	0.00044843
Binomial	replicate	0	4607	0	1	1	0.000217061
Binomial	replicate	0	4513	0	1	1	0.000221582
Binomial	replicate	0	4591	0	0	0	0
Binomial	replicate	0	4287	0	0	0	0
Beta-Binomial	1	4	5732	0	0	0	0
Beta-Binomial	1	2	5755	0	0	0	0
Beta-Binomial	2	4	4157	1	1	2	0.000481116
Beta-Binomial	2	2	3455	4	1	5	0.001447178
Beta-Binomial	3	4	3480	3	4	7	0.002011494
Beta-Binomial	3	2	2894	1	1	2	0.000691085
Beta-Binomial	4	2	7818	0	0	0	0
Beta-Binomial	5	4	6999	0	0	0	0
Beta-Binomial	5	2	6607	0	0	0	0
Beta-Binomial	6	4	5492	6	0	6	0.001092498
Beta-Binomial	6	2	4683	2	0	2	0.000427077
Beta-Binomial	7	4	7539	1	0	1	0.000132644
Beta-Binomial	7	2	7419	12	1	13	0.001752258
Beta-Binomial	8	2	9971	1	2	3	0.000300873
Beta-Binomial	8	4	10841	3	6	9	0.000830182
Beta-Binomial	9	2	7865	6	0	6	0.000762873
Beta-Binomial	9	4	7656	2	0	2	0.000261233
Beta-Binomial	10	4	5711	3	1	4	0.000700403
Beta-Binomial	10	2	5345	3	0	3	0.000561272
Beta-Binomial	replicate	0	4364	0	0	0	0
Beta-Binomial	replicate	0	4460	0	0	0	0
Beta-Binomial	replicate	0	4607	0	0	0	0
Beta-Binomial	replicate	0	4513	0	0	0	0
Beta-Binomial	replicate	0	4591	0	0	0	0
Beta-Binomial	replicate	0	4287	0	0	0	0
